strain,stress_MPa
0.0083959466,527.2650454575053
0.0083959466,527.4063972293945
0.0083857076,527.5241930040027
0.0083857076,527.7126646645554
0.0084369024,527.7833405505
0.0084164245,527.9482562137715
0.0084266635,528.0424880969974
0.0084573803,528.2309913339541
0.0084369024,528.2780796462137
0.0084471414,528.4194629945068
0.0084573803,528.5136948777326
0.0084676193,528.6786105410042
0.0084778583,528.7492864269489
0.0084778583,528.9142020902204
0.0084778583,528.9848779761651
0.0085085751,529.1733496367178
0.0084983362,529.2204695253812
0.0085085751,529.3854088709556
0.0085085751,529.4560531804964
0.0085188141,529.5738805315084
0.0085188141,529.6681203088352
0.0085290531,529.856591969388
0.008539292,529.9037355403543
0.008539292,530.0686512036258
0.008539292,530.1628909809526
0.0085700089,530.3277987501232
0.008549531,530.3985062124717
0.00855977,530.5162388342721
0.0085904868,530.5869462966207
0.0085802479,530.6812176503513
0.0085904868,530.846093843118
0.0086007258,530.9403651968487
0.0085904868,531.0581609714568
0.0086007258,531.1523612782788
0.0086109648,531.3173400943581
0.0086212037,531.3879844038988
0.0086416816,531.5057801785069
0.0086416816,531.5528684907665
0.0086314427,531.7649277250043
0.0086519206,531.7649277250043
0.0086416816,531.9298433882758
0.0086826375,532.0005508506243
0.0086621596,532.1419026225137
0.0086826375,532.1889909347733
0.0087031154,532.3775178540327
0.0086928764,532.3539618567515
0.0086826375,532.5659658322826
0.0087031154,532.5895218295639
0.0087133544,532.707317604172
0.0087031154,532.8015494873978
0.0087133544,532.9429091533881
0.0087133544,532.9900211479505
0.0087133544,533.1314360726476
0.0087440712,533.1549683876259
0.0087440712,533.3198761567965
0.0087645492,533.4141475105272
0.0087440712,533.5319432851352
0.0087747881,533.5790315973948
0.0087747881,533.7439393665654
0.0087850271,533.814646828914
0.0087645492,533.8852911384547
0.008795266,533.9795624921853
0.008795266,534.0737943754114
0.008795266,534.144446579053
0.008805505,534.2622660359641
0.008805505,534.3565058132908
0.008815744,534.4036257019543
0.008815744,534.5449774738436
0.0088259829,534.6392093570695
0.0088259829,534.7334807108002
0.0088259829,534.804125020341
0.0088362219,534.8983884799708
0.0088669388,534.945539945038
0.0088566998,535.1104240319057
0.0088771777,535.1575439205692
0.0088771777,535.2753318010763
0.0088874167,535.3224201133359
0.0088771777,535.4166914670666
0.0088771777,535.4873989294151
0.0089078946,535.581599236237
0.0088976556,535.6051947040232
0.0088976556,535.7230141609341
0.0089181336,535.7701024731937
0.0089078946,535.911454245083
0.0089181336,535.9585425573425
0.0089386115,536.0763699083545
0.0089386115,536.1235213734219
0.0089283725,536.2177216802438
0.0089283725,536.2884291425923
0.0089488504,536.3826689199193
0.0089590894,536.45331322946
0.0089590894,536.5240206918086
0.0089693284,536.6182288927316
0.0089795673,536.6889363550802
0.0089898063,536.7596438174285
0.0089898063,536.8067321296883
0.0090000452,536.9245515865991
0.0090000452,536.9480839015775
0.0090000452,537.0423473612072
0.0089898063,537.0894356734668
0.0090307621,537.2072630244788
0.0090205232,537.2307874453561
0.0090205232,537.3486147963681
0.0090205232,537.3721471113463
0.0090410011,537.4899349918535
0.0090410011,537.5134988832356
0.0090410011,537.7020021201922
0.00905124,537.7255581174736
0.00905124,537.7726464297332
0.00905124,537.8433538920817
0.009061479,537.984705663971
0.0090819569,537.9611812430935
0.0090819569,538.0553499735117
0.0090819569,538.1260653299612
0.0090921959,538.1731773245237
0.0091126738,538.2203287895909
0.0091126738,538.3616805614804
0.0091024349,538.338124564199
0.0091126738,538.455951915211
0.0091126738,538.5030323333697
0.0091126738,538.5501206456292
0.0091331517,538.5973036871003
0.0091229128,538.6914803116194
0.0091331517,538.7386554589896
0.0091331517,538.8564512335977
0.0091433907,538.8800072308788
0.0091536297,538.9270955431386
0.0091638686,539.0448913177465
0.0091638686,539.0684473150279
0.0091638686,539.1862430896358
0.0091843465,539.2098069810181
0.0091843465,539.2805144433667
0.0091741076,539.2805144433667
0.0091741076,539.4218662152559
0.0091945855,539.3983102179748
0.0092048245,539.5161296748856
0.0091843465,539.5632179871452
0.0092048245,539.6574577644722
0.0091945855,539.6574577644722
0.0092048245,539.775277221383
0.0092150634,539.775277221383
0.0092355413,539.9166368873734
0.0092355413,539.9166368873734
0.0092355413,540.0344326619816
0.0092355413,540.08151308014
0.0092457803,540.1522205424885
0.0092457803,540.1522205424885
0.0092253024,540.2228727461304
0.0092355413,540.2700478935005
0.0092662582,540.3642245180197
0.0092764972,540.3642245180197
0.0092662582,540.4584879776494
0.0092764972,540.5291954399979
0.0092764972,540.5998476436398
0.0092969751,540.623403640921
0.0092867361,540.7176355241468
0.0092867361,540.7647554128102
0.009327692,540.7411994155291
0.009317453,540.8354628751588
0.009327692,540.8825511874184
0.0093072141,540.9532586497669
0.009317453,540.976822541149
0.009317453,541.071054424375
0.0093379309,541.0239029593076
0.009327692,541.1416987339157
0.0093379309,541.1416987339157
0.009317453,541.2359700876466
0.0093379309,541.2359700876466
0.0093584089,541.3537658622545
0.0093584089,541.3537658622545
0.0093481699,541.4479977454805
0.0093584089,541.400877856817
0.0093584089,541.5186736314251
0.0093584089,541.5186736314251
0.0093686478,541.6129134087519
0.0093788868,541.6129134087519
0.0093788868,541.6835892946965
0.0093686478,541.73070918336
0.0093788868,541.8013850693046
0.0093891257,541.8250042193936
0.0093891257,541.8956169525304
0.0093993647,541.9191808439127
0.0094096037,542.0134127271388
0.0093993647,542.060532615802
0.0094198426,542.084151765891
0.0094096037,542.084151765891
0.0094300816,542.1783283904101
0.0094300816,542.2490674291626
0.0094300816,542.2490674291626
0.0094300816,542.3196801622996
0.0094403205,542.3432993123886
0.0094300816,542.4374759369075
